kind,model,layer,beta,acc,r2,kl_b,dkl,ci,z
synth,,,0.0,0.5019999742507935,-0.0005065333098173141,,,,
synth,,,0.25,0.5289999842643738,0.006012610159814358,,,,
synth,,,0.5,0.5954999923706055,0.11813287436962128,,,,
synth,,,0.75,0.6669999957084656,0.2855483889579773,,,,
synth,,,1.0,0.7434999942779541,0.4830242693424225,,,,
kausal,gpt2,10,0.0,,,2042910.75,-0.10891032218933105,1.0473496299205498,-1.796292224972656
kausal,gpt2,10,0.25,,,2443532.75,-400621.875,241930.00633946958,-1.796292224972656
kausal,gpt2,10,0.5,,,2226469.0,-183558.40625,280932.82938924,0.3265983209023629
kausal,gpt2,10,0.75,,,1760753.875,282156.8125,306242.3605610501,3.592584449945312
kausal,gpt2,10,1.0,,,1149284.875,893625.9375,349389.72678758233,6.042074776732354
