kind,model,layer,beta,acc,r2,kl_b,dkl,ci,z
synth,,,0.0,0.5019999742507935,-0.0005065333098173141,,,,
synth,,,0.25,0.5289999842643738,0.006012610159814358,,,,
synth,,,0.5,0.5954999923706055,0.11813287436962128,,,,
synth,,,0.75,0.6669999957084656,0.2855483889579773,,,,
synth,,,1.0,0.7434999942779541,0.4830242693424225,,,,
kausal,pythia,3,0.0,,,5502116.5,14.039999961853027,44.85376544343894,-11.757550776309326
kausal,pythia,3,0.25,,,4775300.5,726830.0625,223062.41681958525,6.858570578988261
kausal,pythia,3,0.5,,,3899224.25,1602906.75,349273.7026234325,9.144761745324121
kausal,pythia,3,0.75,,,3054760.0,2447371.0,393912.8395384381,10.287857328492052
kausal,pythia,3,1.0,,,2244225.0,3257906.0,426306.226052416,10.777754809845597
kausal,pythia,5,0.0,,,2957357.75,4.264999866485596,12.117615267281641,-12.084149393776151
kausal,pythia,5,0.25,,,17285878.0,-14328518.0,954754.3650224672,-11.594251433356938
kausal,pythia,5,0.5,,,21953484.0,-18996124.0,1300777.1505830865,-11.757550776309326
kausal,pythia,5,0.75,,,18327186.0,-15369824.0,1477936.1271734252,-11.594251433356938
kausal,pythia,5,1.0,,,12287048.0,-9329684.0,1587773.0827241368,-11.104353495750374
