model,layer,n,sigma_lia,klC_d0.05,klB_d0.05,ratio_d0.05,klC_d0.1,klB_d0.1,ratio_d0.1,klC_d0.2,klB_d0.2,ratio_d0.2,klC_d0.4,klB_d0.4,ratio_d0.4
pythia-160m,0,149,0.031752514232837516,9341701.93609227,4160099.981190394,0.4453257029233162,8957716.880370863,3758230.0714645144,0.41955222761058264,6222363.87174153,2877197.247066673,0.46239617392568144,3409879.370842134,1822773.022414769,0.5345564532286081
pythia-160m,1,149,0.02758639144002587,8148820.823651872,2917831.713515983,0.3580679679502837,8303518.9407215305,2972846.0857029785,0.3580224368639369,7169886.220395267,2923845.1667034617,0.40779519741699244,4326773.7179540815,2151507.8527467395,0.49725453490183485
pythia-160m,2,149,0.02876910736111678,6594246.400065567,2302446.5637322203,0.3491599227637789,6689475.92730316,2348619.7708841655,0.3510917441676188,6412476.600096198,2435281.155735973,0.3797723262958089,6065503.718813,2588330.5596646597,0.4267296962718189
pythia-160m,3,149,0.030771941746791605,3693847.402207836,1831780.5424792361,0.49590043740961504,3779360.9136260706,1872622.5769758315,0.49548657028872173,4146177.308208693,2040267.5786888895,0.4920840154736082,6088598.241702661,2525362.409457945,0.41476909942274887
pythia-160m,4,149,0.02646508054085994,3479914.862375023,2197720.0316652306,0.6315441953557733,3618817.740762072,2234137.521409101,0.6173666875355328,3981738.7849052097,2376098.581545287,0.5967489857830673,4633498.8209630195,2682575.7907352126,0.5789525139401396
pythia-160m,5,149,0.027860939066104255,4129808.9593573753,2237458.4045741237,0.5417825440822053,4258347.036318945,2276037.012670932,0.5344883808808625,5033039.272339392,2438052.0049881004,0.48440949356130825,4834008.014716276,2578157.026066995,0.5333373503350131
pythia-160m,6,149,0.02802100601974735,5698106.169072686,2959933.5522527527,0.5194591789669049,5825073.72070618,3020691.0076916153,0.518567000612211,6345465.966418856,3202591.365814452,0.5047054672994922,5728846.319785922,3109723.693139265,0.5428184872753701
pythia-160m,7,149,0.03030654083803393,8066088.624620275,4579545.770649891,0.5677529697196305,8196725.921514734,4641753.435970224,0.5662936006908037,8897735.01423479,4921814.037650988,0.5531535868147301,6012216.820214614,3898175.264980125,0.6483756959452062
pythia-160m,8,149,0.03847115054187232,8404823.19162843,4514340.4323987095,0.5371130753702457,8717692.165044492,4612019.489725311,0.5290413336935915,9956137.857315375,4986969.635945893,0.5008939919691515,8723872.889302474,4871843.993630184,0.558449676588504
pythia-160m,9,149,0.04464001779118978,9048660.216736672,5154664.132670024,0.5696604811324226,9206117.272078114,5244048.687450089,0.5696265355379663,9857891.922876487,5654538.76536778,0.573605270742085,8217701.58039532,5405694.401040712,0.6578109886512411
pythia-160m,10,149,0.06723769750317449,11874119.269811606,6839657.188456738,0.5760138527364864,12273001.17445458,7026279.891655494,0.5724989178914298,13878939.629390901,7756450.465509123,0.5588647744445536,12476282.748208826,7158769.33285649,0.5737902448455048
pythia-160m,11,149,0.11094972544331277,191438416.92591402,56594531.32486265,0.295627869440461,104427651.71426082,51038127.553921714,0.488741503960793,17093696.75434413,33785048.355219916,1.9764623674299067,2324057.264349786,14000145.45869468,6.024010541156599
