config,method,recon_mse,r2_mean,r2_min,c_mse,c_corr,c_hat_mae
b=-0.9,Summe (Baseline),0.8665225505828857,-69.92298889160156,-77.30072784423828,0.0026013331953436136,,
b=-0.9,Referenz [Summe|Differenz],0.001281943405047059,0.8957564830780029,0.8913264274597168,0.0020896210335195065,,
b=-0.9,D-LoRA (gelernt),0.0016986841801553965,0.861038327217102,0.847260594367981,0.001586277037858963,,0.00031375582329928875
b=-0.8 *,Summe (Baseline),0.7315918803215027,-68.31842041015625,-83.51103973388672,0.0029236185364425182,,
b=-0.8 *,Referenz [Summe|Differenz],0.0012232676381245255,0.8837649822235107,0.8568572998046875,0.0017829285934567451,,
b=-0.8 *,D-LoRA (gelernt),0.001660733250901103,0.8415348529815674,0.8019883632659912,0.0014215371338650584,,0.018010444939136505
b=-0.7,Summe (Baseline),0.6089707612991333,-67.72279357910156,-91.19048309326172,0.0036436314694583416,,
b=-0.7,Referenz [Summe|Differenz],0.0012390963966026902,0.857267439365387,0.8010453581809998,0.0017330076079815626,,
b=-0.7,D-LoRA (gelernt),0.0017398461932316422,0.8047740459442139,0.7409894466400146,0.001355840009637177,,0.0002644064952619374
b=-0.6 *,Summe (Baseline),0.5002730488777161,-70.9024429321289,-104.80940246582031,0.00461902329698205,,
b=-0.6 *,Referenz [Summe|Differenz],0.001253791619092226,0.8191368579864502,0.7327558398246765,0.0015340931713581085,,
b=-0.6 *,D-LoRA (gelernt),0.0015684333629906178,0.7766755819320679,0.6748363971710205,0.0012403886066749692,,0.007712208200246096
b=-0.5,Summe (Baseline),0.39422547817230225,-77.28126525878906,-124.06324005126953,0.005835002288222313,,
b=-0.5,Referenz [Summe|Differenz],0.0012310659512877464,0.7591210007667542,0.618988573551178,0.0015475201653316617,,
b=-0.5,D-LoRA (gelernt),0.0017423061653971672,0.6464218497276306,0.42698436975479126,0.0014266087673604488,,0.0004195004003122449
b=-0.4 *,Summe (Baseline),0.309850811958313,-84.80635070800781,-146.74603271484375,0.007703083101660013,,
b=-0.4 *,Referenz [Summe|Differenz],0.0012365910224616528,0.679192304611206,0.4618780016899109,0.001393224229104817,,
b=-0.4 *,D-LoRA (gelernt),0.0017011433374136686,0.5130309462547302,0.1510469913482666,0.0014405091060325503,,0.005161604378372431
