mode,seed,step,train_loss,val_loss,fire_rate
baseline,0,1,171.45147705078125,157.2403190612793,0.0
baseline,0,250,2.631549835205078,2.5119643139839174,0.0
baseline,0,500,2.4981579780578613,2.4597283601760864,0.0
baseline,0,750,2.2929322719573975,2.3257320642471315,0.0
baseline,0,1000,2.1728639602661133,2.169094145298004,0.0
baseline,0,1250,2.0558042526245117,2.103496153354645,0.0
baseline,0,1500,2.0691590309143066,2.0361552917957306,0.0
baseline,0,1750,1.964070200920105,1.984295037984848,0.0
baseline,0,2000,1.8585646152496338,1.928079354763031,0.0
baseline,0,2250,1.7811877727508545,1.8692266356945038,0.0
baseline,0,2500,1.7407376766204834,1.80216334939003,0.0
baseline,0,2750,1.7043161392211914,1.767144718170166,0.0
baseline,0,3000,1.636131763458252,1.7288850569725036,0.0
baseline,0,3250,1.6241329908370972,1.7013083064556123,0.0
baseline,0,3500,1.5503191947937012,1.6767254996299743,0.0
baseline,0,3750,1.543583631515503,1.65426278591156,0.0
baseline,0,4000,1.542024850845337,1.6379903185367584,0.0
baseline,0,4250,1.5047450065612793,1.625924791097641,0.0
baseline,0,4500,1.4765863418579102,1.6158237600326537,0.0
baseline,0,4750,1.4708850383758545,1.603767555952072,0.0
baseline,0,5000,1.5144438743591309,1.6017976951599122,0.0
baseline,0,5250,1.373987078666687,1.5927317547798157,0.0
baseline,0,5500,1.4665889739990234,1.5938734924793243,0.0
baseline,0,5750,1.4659557342529297,1.5891973626613618,0.0
baseline,0,6000,1.4377156496047974,1.5891705405712129,0.0
