mode,seed,step,train_loss,val_loss,fire_rate
rotate,0,1,171.45147705078125,157.2403189086914,0.0
rotate,0,250,2.635894298553467,2.507620861530304,0.0
rotate,0,500,2.495804786682129,2.470346436500549,0.0
rotate,0,750,2.310929298400879,2.3179953789710996,0.0
rotate,0,1000,2.1759142875671387,2.1718363428115843,0.0
rotate,0,1250,2.056774139404297,2.102237117290497,0.0
rotate,0,1500,2.0646214485168457,2.0279991698265074,0.0
rotate,0,1750,1.9522180557250977,1.9768758535385131,0.0
rotate,0,2000,1.857584834098816,1.9234312844276429,0.0
rotate,0,2250,1.7763166427612305,1.8663156521320343,0.0
rotate,0,2500,1.7449755668640137,1.8015704464912414,0.0
rotate,0,2750,1.6977063417434692,1.7666140151023866,0.0
rotate,0,3000,1.6375868320465088,1.731572107076645,1.7438616071428571e-07
rotate,0,3250,1.629433035850525,1.7008889877796174,0.0
rotate,0,3500,1.5523325204849243,1.6806687033176422,0.0
rotate,0,3750,1.5413755178451538,1.652690271139145,3.4877232142857143e-07
rotate,0,4000,1.5428742170333862,1.6406535661220552,1.918247767857143e-06
rotate,0,4250,1.506974220275879,1.6258431887626648,2.0926339285714287e-06
rotate,0,4500,1.484792709350586,1.6183958005905152,4.185267857142857e-06
rotate,0,4750,1.473508596420288,1.6045952439308167,5.405970982142857e-06
rotate,0,5000,1.5108411312103271,1.6022940838336945,5.580357142857143e-06
rotate,0,5250,1.3811209201812744,1.5926329028606414,7.672991071428572e-06
rotate,0,5500,1.469598650932312,1.5946498394012452,7.498604910714286e-06
rotate,0,5750,1.4681949615478516,1.5906276285648346,7.1498325892857145e-06
rotate,0,6000,1.441194772720337,1.5902100801467896,9.591238839285714e-06
