L_base,L_gate,L_rot,acc_base,acc_mlp,acc_oracle,acc_rot,alarm_rate,bias,c,d,delta_p,mean_c,mlp_params,norm_dev,null_tail,orth_max,p_null,p_real,p_tail,precision,q,r,r2_base,r2_rot,rho_at_c_minus1,rot_rate,se,tau,tau_c,var_c
,,,,,,,,0.0,,16,0.0019000004976987839,-0.0027216849848628044,,,0.02019999921321869,,,,0.022099999710917473,,Q1,,,,,,0.0020347862042165406,,,0.06273650377988815
,,,,,,,,0.1,,16,0.023900002241134644,-0.08852586150169373,,,0.02019999921321869,,,,0.04410000145435333,,Q1,,,,,,0.0024889184512772613,,,0.0614086352288723
,,,,,,,,0.3,,16,0.14710000157356262,-0.28290048241615295,,,0.02019999921321869,,,,0.1673000007867813,,Q1,,,,,,0.003988767601258927,,,0.04984211549162865
,,,,,,,,0.0,,32,-0.0003000000724568963,0.0002871907199732959,,,0.0017000000225380063,,,,0.00139999995008111,,Q1,,,,,,0.0005563407204836133,,,0.031099991872906685
,,,,,,,,0.1,,32,0.005999999935738742,-0.09440446645021439,,,0.0017000000225380063,,,,0.007699999958276749,,Q1,,,,,,0.0009663239612769965,,,0.030910363420844078
,,,,,,,,0.3,,32,0.08830000355374068,-0.2946411371231079,,,0.0017000000225380063,,,,0.09000000357627869,,Q1,,,,,,0.0028913165332597173,,,0.02410629577934742
,,,,,,,,0.0,,64,0.0,-0.00131882110144943,,,0.0,,,,0.0,,Q1,,,,,,4.472135954999579e-07,,,0.015507476404309273
,,,,,,,,0.1,,64,0.00019999999494757503,-0.09778154641389847,,,0.0,,,,0.00019999999494757503,,Q1,,,,,,0.00014140756519705585,,,0.014873831532895565
,,,,,,,,0.3,,64,0.023399999365210533,-0.2958468198776245,,,0.0,,,,0.023399999365210533,,Q1,,,,,,0.0015117023647172971,,,0.012106083333492279
,,,,,,,,0.0,,128,0.0,0.00018505009938962758,,,0.0,,,,0.0,,Q1,,,,,,4.472135954999579e-07,,,0.007833374664187431
